,Edad (años),Peso (Kg),Altura (cm),IMC,Grupo Sanguíneo,Frecuencia Cardiaca (lpm),Frecuencia Respiratoria (rpm),Hemoglobina (g/dl),Ciclo (R/I),Duración Ciclo (días),Años Casada,Embarazada (S/N),Número Abortos,beta-HCG I (mUI/mL),beta-HCG II (mUI/mL),FSH (mUI/mL),LH (mUI/mL),Ratio FSH/LH,Cadera (pulg),Cintura (pulg),Ratio Cintura-Cadera,TSH (mUI/L),AMH (ng/mL),Prolactina (ng/mL),Vitamina D3 (ng/mL),Progesterona (ng/mL),Glucosa (mg/dl),Aumento Peso (S/N),Crecimiento Vello (S/N),Oscurecimiento Piel (S/N),Pérdida Cabello (S/N),Acné (S/N),Comida Rápida (S/N),Ejercicio Regular (S/N),Presión Sistólica (mmHg),Presión Diastólica (mmHg),Num Folículos (I),Num Folículos (D),Tamaño Folículo Prom (I) (mm),Tamaño Folículo Prom (D) (mm),Endometrio (mm)
FSH (mUI/mL),0.0325049136654375,-0.007120126131925507,-0.04795551225005633,0.014538271746414998,-0.08525142103992707,-0.07206732061641737,0.0075839770078428015,-0.031879996614679766,-0.03226915184323202,-0.06256232155292583,-0.05310076102103932,-0.09274331267101968,0.013879092049396751,-0.09823972676133076,-0.0821566356265959,1.0,0.5256788764662116,-0.05246181397165048,0.021431113456709432,0.0038294805394342734,-0.04008220979301527,-0.01151403307694743,-0.007366338440884691,-0.013845032313999832,0.02755989209953818,0.01042248484139843,0.011750158591670425,-0.08266979690526398,-0.06756410305646077,-0.11331815563641907,-0.05775281214665084,-0.05702331126702617,-0.06836584484100651,0.022443008479421767,-0.0054168251354187935,-0.03274486838350914,-0.10216047123171025,-0.061905246846197734,-0.052977257789829764,-0.02007102464312145,0.062096691982630174
LH (mUI/mL),-0.14908125084625307,0.005619156934353027,0.02247924822591001,-0.0046451038501085,-0.04376265803680385,-0.005854906624709439,0.033945076771727874,-0.042367163766718424,0.1476958619655046,-0.1158907402543893,-0.1278174187281113,-0.012759326594542104,0.005653148812679847,-0.034403392817438,0.02758640582036278,0.5256788764662116,1.0,-0.8505581435069658,0.005312159524607196,0.0003343052006769524,-0.0023060460362142763,0.047926038985343145,0.16655722261350178,0.008512357243680041,-0.034710177852789896,0.06781303861796192,0.07154023591499975,0.03154169158664056,-0.010427732081756708,0.01002013933178407,-0.0626089881986565,-0.006152054765670537,0.040752940814203456,0.04514144651693754,-0.025459955776434496,0.0001391902833515687,-0.000622422720713579,-0.011662368438642814,-0.009032065498903476,-0.038926569231924696,0.046526453756820074
Ratio FSH/LH,0.18637341906037883,-0.034283091755614496,-0.05529707634535833,-0.012694306540467971,-0.004275311043477335,-0.03463559800979727,-0.035842712258774265,0.018566024697254786,-0.18269749904126453,0.1012965500832221,0.1063174970683173,-0.04422247069021909,-0.008305891711044334,-0.015497789676040815,-0.09696555676662637,-0.05246181397165048,-0.8505581435069658,1.0,-0.010210894209541355,-0.010106650189221076,-0.009502457067269047,-0.07147798417031982,-0.1902448048391865,-0.010151107762416373,0.07290258685295747,-0.07118687733197879,-0.08377067270596099,-0.10348986832968739,-0.04420673987475594,-0.09852008530074405,0.02237699609584158,-0.03526543231604552,-0.10011128342888159,-0.03597634302995845,0.031614951074437576,-0.014490054781154917,-0.06787188152451902,-0.04360719196847853,-0.015898908291692725,0.03825675804045402,-0.02941684550561656
Cadera (pulg),-0.0008069835971443162,0.6332213205995944,0.215609357505101,0.5964235264884188,0.0009774112781526807,0.059098675430856326,0.07067746743198502,-0.027263071367056302,0.17600565744302507,0.040302720809367545,0.038583485323925436,-0.03153370944867285,0.07275944372430439,-0.07553231692059997,0.01086294789507095,0.021431113456709432,0.005312159524607196,-0.010210894209541355,1.0,0.8741798639495479,-0.2376639501117509,0.0005514476758043267,-0.05252067244100808,-0.06436174532738584,0.026936748476078725,0.09462771351667101,0.00676369590169696,0.3157681731851986,0.15582857468096228,0.10119800039564862,-0.002142808364553315,-0.03658546739710069,0.09281325108488428,-0.02985982000835568,-0.0052508720728670156,0.11548012581762096,0.12267315952325697,0.09753752839959594,-0.04919332695053017,-0.10052910327612598,0.02857180931999082
Cintura (pulg),0.036282123732492275,0.6407097388363094,0.2084840719204182,0.6095850286800009,0.004087174130525611,0.025987871660078363,0.03583453054470217,-0.0023118212237011686,0.1691281032485568,-0.02390279607268721,0.04027326820733818,-0.050585681707381716,0.0735379093281602,-0.06479716046028508,-0.030976989872086257,0.0038294805394342734,0.0003343052006769524,-0.010106650189221076,0.8741798639495479,1.0,0.2605853435822588,-0.00991177575872939,-0.04631226307751003,-0.028027298619933937,-0.028777823983677574,0.013144118342641701,0.018845480084422533,0.3309850514058277,0.1760709234013147,0.07286431741654215,0.03373645647372117,0.034632938299307935,0.1401647692474642,-0.06816115601353953,0.04205253135283003,0.13558768865315185,0.13033751978380897,0.0942213982901672,0.03266099017617588,-0.01479718644227852,0.01424773215896027
Ratio Cintura-Cadera,0.06353224125335555,0.018879466290032208,-0.014915470166718833,0.031051087810883178,0.012718183438404767,-0.06922474939964451,-0.07107883149021575,0.05754203759710535,-0.0028504583862296786,-0.12969667159135975,-0.0022318332262832477,-0.054362769825355595,0.005864379176243574,0.011961234199201885,-0.09262145533144513,-0.04008220979301527,-0.0023060460362142763,-0.009502457067269047,-0.2376639501117509,0.2605853435822588,1.0,-0.017234725956382407,0.024021323657226836,0.07576603424928562,-0.1098147215055462,-0.15929663012532105,0.01896257161832749,0.038031983629350445,0.048260259644922206,-0.06000386455431897,0.06630980255217192,0.13683565358680788,0.08566507250957812,-0.07855185619230526,0.08738221463356824,0.042246280898918645,0.018977851363153192,-0.007438846870274306,0.16976143014466955,0.17340549140133668,-0.025087511963472055
TSH (mUI/L),0.05847780344736582,0.05049247594028385,0.039397174788601094,0.04126633528229809,0.07897700935452745,-0.03750841163450556,0.024042471268993434,0.004836652626390867,-0.021511036121898513,0.041280464111864444,0.02303325763041546,-0.023680606898102828,0.05389829685592978,-0.018677671210682947,-0.06844920951409379,-0.01151403307694743,0.047926038985343145,-0.07147798417031982,0.0005514476758043267,-0.00991177575872939,-0.017234725956382407,1.0,0.016804306873943717,0.05044206862616762,-0.024378623722390823,-0.023096517194630437,-0.0281873055565354,0.020399920610337918,-0.02789996441417188,-0.026410857043657414,-0.08349603886397318,0.0114041646902244,-0.032489771051581295,-0.03839505684473626,0.02278572595690024,0.010854700356826718,0.017414699684062777,-0.005334844570882079,-0.023865221437357156,-0.06916414432415263,-0.058422148006809324
AMH (ng/mL),-0.19025939729087166,0.03722568890404709,-0.05853058747496043,0.06793151860395943,0.07069473171784196,-0.04311451044264618,-0.0034864271537444823,0.026179987316388143,0.20752873706932085,-0.08488792869104794,-0.1311146408494218,-0.03364495685371235,-0.060649924190533375,0.07613500282122386,0.008090433062952576,-0.007366338440884691,0.16655722261350178,-0.1902448048391865,-0.05252067244100808,-0.04631226307751003,0.024021323657226836,0.016804306873943717,1.0,-0.022071296710306314,-0.03237877994120291,0.0031639947126954684,-0.002128473945338535,0.13113177362218362,0.16605451969004173,0.17482852066576338,0.13410992858394216,0.11960762369889139,0.1889002789995058,0.10430026723078036,-0.00899115559608912,0.03558636382887226,0.2464350940747272,0.2244394227353496,0.07579895907000106,0.08877795286183364,0.13633959741237583
Prolactina (ng/mL),-0.08448706470622554,-0.05698375049679527,0.0009970636940416207,-0.06407684196280918,0.02589713334151068,-0.011946472226771948,0.0022042972050995025,-0.06119636235162999,0.015345764298888013,0.012274808453589452,-0.06087087346496086,0.011388212363396459,-0.0915930463713475,0.01662471258292123,-0.0485722664992337,-0.013845032313999832,0.008512357243680041,-0.010151107762416373,-0.06436174532738584,-0.028027298619933937,0.07576603424928562,0.05044206862616762,-0.022071296710306314,1.0,-0.017595779999520854,-0.0012413807061054923,-0.05869558370484727,-0.02156330826147566,-0.013713497738754802,0.046264805936777564,-0.06449446116901332,-0.002948936032361663,0.025879069524691843,0.038830267496888955,-0.011447137755071366,-0.012161043137101512,0.02375823223141971,0.01940350900962982,0.14664724094742115,0.10543612380343395,0.04450092511007572
Vitamina D3 (ng/mL),-0.006790706368984652,-0.08335445463876635,-0.03318269378940729,-0.07375598182069712,0.038476651953816415,0.03803616026177844,0.05282902831018735,0.06958867992870026,-0.015318731935505288,0.04086022283550108,0.04190218244542332,0.10443363485901669,-0.036366870527892316,0.04670425776408707,0.04845955551084311,0.02755989209953818,-0.034710177852789896,0.07290258685295747,0.026936748476078725,-0.028777823983677574,-0.1098147215055462,-0.024378623722390823,-0.03237877994120291,-0.017595779999520854,1.0,0.016990242745130578,-0.06536927071180167,-0.12383436195451412,-0.011788922704238177,-0.04430633838315019,0.01690970329081388,-0.005157945925918862,-0.04856514932660708,-0.05952597025721838,-0.042504754110627464,-0.04757827223518819,0.05606221276373291,0.0713686089769351,-0.009467960004109805,-0.12157309896139946,0.02811348515853997
