,Número Abortos,Duración Ciclo (días),Años Casada,Num Folículos (I),Num Folículos (D),Edad (años),Peso (Kg),Altura (cm),IMC,Frecuencia Cardiaca (lpm),Frecuencia Respiratoria (rpm),Hemoglobina (g/dl),beta-HCG I (mUI/mL),beta-HCG II (mUI/mL),FSH (mUI/mL),LH (mUI/mL),Ratio FSH/LH,Cadera (pulg),Cintura (pulg),Ratio Cintura-Cadera,TSH (mUI/L),AMH (ng/mL),Prolactina (ng/mL),Vitamina D3 (ng/mL),Progesterona (ng/mL),Glucosa (mg/dl),Presión Sistólica (mmHg),Presión Diastólica (mmHg),Tamaño Folículo Prom (I) (mm),Tamaño Folículo Prom (D) (mm),Endometrio (mm)
Frecuencia Respiratoria (rpm),-0.008163164830200648,0.006098548633542435,0.0764903362907976,0.06818011521936912,0.010329846541988041,0.08576044629973531,0.04352702992772923,-0.029883099634629956,0.0617381862379444,0.3021884910765571,1.0,-0.04534062865748844,-0.08562938235959572,0.011550816825502505,-0.03408933164588567,0.017478722099002957,-0.07001160900528539,0.07524186056644895,0.037977297182223466,-0.07579412429714431,0.017957463756351457,-0.02608020715100697,0.008694698402061782,0.04666638876928236,-0.07721127323408743,0.050284915974799047,0.01662865764064924,0.055029819486621466,-0.0330511450606219,-0.023219916669033506,-0.06440936909050089
Hemoglobina (g/dl),0.05793195322366797,-0.05057695632981432,0.009000382416741002,0.06097698481635575,0.07212473915722342,-0.022581385317771284,0.006179903138123816,0.022043870629564234,0.0011567287383630746,-0.055993164823574006,-0.04534062865748844,1.0,-0.017309669368921695,-0.021253392174099467,0.01128609773032034,-0.0649138489278246,-0.031177995305988183,-0.027263071367056302,-0.0023118212237011686,0.05754203759710535,-0.025867819751746676,0.041931600197963076,-0.05995330378029571,0.06928277991465634,0.06547951854563386,0.023530767710207175,0.04990414112642913,0.004039435137875585,0.03588845253453586,0.02772457174407018,-0.06810098053373326
beta-HCG I (mUI/mL),0.057738160799732395,0.020114112487459753,0.11166299578294904,0.048112422788666724,0.01813219473991826,0.007875064131818665,0.016359299025954212,0.06210368558832715,-0.009418231012606207,-0.020905462798062054,-0.08562938235959572,-0.017309669368921695,1.0,0.49492392195815366,-0.06654425203451855,-0.06975943581816578,0.07680174088538849,0.015359656242866086,0.005117927965700412,-0.02478288557606998,-0.05610360333952386,0.0188324062580166,-0.012532533449590608,-0.020733787731537046,-0.0029403275756871663,-0.02385489122578605,-0.08182506170329501,0.004597569425922918,0.049475273518863834,0.07149975385452054,-0.051010543999030405
beta-HCG II (mUI/mL),0.005557207217207023,0.06386202814607843,0.06189097531218024,0.016655119530981855,-0.01257531039869229,-0.013232142134858007,-0.047828770963945506,0.011534332662888166,-0.05539747324392709,0.017474413240754043,0.011550816825502505,-0.021253392174099467,0.49492392195815366,1.0,-0.06108746952492045,-0.01606563599061608,0.06985001954633675,0.030694203824844876,0.0024951533624508336,-0.05470258330191957,-0.06427160424891569,0.05607487258821219,-0.047041657543861415,0.038683231658394206,0.034722557947668105,-0.014925164290623745,-0.07328586850616776,-0.007434396218281639,-0.045978304890663575,-0.011167748427315837,0.018600554808920946
FSH (mUI/mL),-0.010330170372585596,-0.044963816529004844,0.02890215580313178,-0.04680778301413282,0.015842891107206637,0.07549628336892787,0.007495568203293892,-0.06273373463922637,0.03867650448989324,-0.04655940475406921,-0.03408933164588567,0.01128609773032034,-0.06654425203451855,-0.06108746952492045,1.0,0.23739817150039305,0.17347067673756877,-0.008416816266422858,-0.004999440792901806,0.0032205524740052663,-0.021693578764446005,0.0498059675035227,-0.0018374641996156157,0.012882396198741144,0.004649334398525633,-0.007051171924287753,0.013896931101249827,-0.01732336014838516,-0.01673964088474517,0.004688272887448951,0.014154892837005347
LH (mUI/mL),-0.03333818365139011,-0.12834025608411134,-0.12294391657073858,0.0035220583642603053,1.1984006410665509e-05,-0.15294834688902315,-0.0008971909577593874,0.02885812551564694,-0.01587481771371399,-0.02909417471869399,0.017478722099002957,-0.0649138489278246,-0.06975943581816578,-0.01606563599061608,0.23739817150039305,1.0,-0.4698878843010272,0.0005784138560425404,-0.008999881138853033,-0.00917430395338899,0.02773004200198434,0.2418537265579064,0.020761145207222536,-0.0170652043302746,0.0005105849527508914,0.023638336629470607,-0.021799154995166735,0.01339273207395539,-0.01793754164373003,-0.02328966125987624,0.0207192497176903
Ratio FSH/LH,-0.060309708112492026,0.03379372720364788,0.010762504971388068,-0.03130489521857184,0.0026828854776187925,0.10189987634215725,-0.016696862321828557,-0.04024115233075341,-0.00011126875194369872,0.0013980413555580184,-0.07001160900528539,-0.031177995305988183,0.07680174088538849,0.06985001954633675,0.17347067673756877,-0.4698878843010272,1.0,-0.02067080949280383,-0.013919664740345445,0.0035999756549041475,-0.050559704630736196,-0.07605933913402392,-0.00012660803011934005,0.12412380629264472,-0.009366806601826086,-0.08015351484249471,-0.006522074214023835,-0.00950897437143481,0.04873256798996567,0.01651555210677003,-0.031158744219326334
Cadera (pulg),0.07947350187426373,0.040302720809367545,0.041355596941003214,0.12267315952325702,0.09753752839959602,-0.0008069835971443162,0.6332213205995944,0.215609357505101,0.5964235264884188,0.06351537580602729,0.07524186056644895,-0.027263071367056302,0.015359656242866086,0.030694203824844876,-0.008416816266422858,0.0005784138560425404,-0.02067080949280383,1.0,0.8741798639495479,-0.2376639501117509,-0.0008062919577456646,-0.0634483179463072,-0.07986906368195959,0.04887098944884143,0.04993571979004795,-0.0007579864157198739,-0.015076921255339923,0.10616927840943181,-0.07830388572892978,-0.10052910327612598,0.02857180931999082
Cintura (pulg),0.07339275198967386,-0.02390279607268721,0.058117599059139234,0.13033751978380895,0.09422139829016708,0.036282123732492275,0.6407097388363094,0.2084840719204182,0.6095850286800009,0.037388782838669664,0.037977297182223466,-0.0023118212237011686,0.005117927965700412,0.0024951533624508336,-0.004999440792901806,-0.008999881138853033,-0.013919664740345445,0.8741798639495479,1.0,0.2605853435822588,-0.01556441142780871,-0.04623984293542851,-0.03496991203058033,-0.011212186028425724,0.029171928203604945,0.012433320881603042,0.03399799024069151,0.12589562933882928,0.03182194183105232,-0.01479718644227852,0.01424773215896027
Ratio Cintura-Cadera,-0.00812499102577291,-0.12969667159135975,0.028412620108246325,0.018977851363153178,-0.007438846870274292,0.06353224125335555,0.018879466290032208,-0.014915470166718833,0.031051087810883178,-0.05272109770068128,-0.07579412429714431,0.05754203759710535,-0.02478288557606998,-0.05470258330191957,0.0032205524740052663,-0.00917430395338899,0.0035999756549041475,-0.2376639501117509,0.2605853435822588,1.0,-0.027619160803572008,0.04435755095443832,0.09145078283417955,-0.11946310420073697,-0.036930496745417145,0.0240380090783149,0.09215328408293912,0.041742962684176196,0.22516687749726522,0.17340549140133668,-0.025087511963472055
